State,District,Female population age 6 years and above who ever attended school (%),"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Women with 10 or more years of schooling (%),Births in the 5 years preceding the survey that are third or higher order (%),Any method6 (%),Any modern method6 (%),Female sterilization (%),Male sterilization (%),IUD/PPIUD (%),Pill (%),Condom (%),Injectables (%),Total unmet need7 (%),Unmet need for spacing7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method8 (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Institutional births (%),Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),State_Type
Andaman Nicobar Islands,Nicobar,78,927,53.5,0,65.3,57.2,46.4,0,2.7,2,4.9,1.2,9.5,3.3,40.4,49.4,97.9,85.1,97.8,21.6,15.7,24.6,1.5,Rest of India
Andaman Nicobar Islands,North  & Middle Andaman,82.7,844,41,1.5,84.1,73.1,48.3,0.6,6.4,7.8,9.3,0,5.8,1.3,23.2,83.2,99.2,92.5,97.7,27,27,42.8,0.8,Rest of India
Andaman Nicobar Islands,South Andaman,84.7,935,57.5,0.5,57.1,50.5,34,0,2.8,1.8,10.6,0.3,17.6,8.6,31.2,88.2,98.9,88.1,99.5,21.1,12.6,17.4,7.2,Rest of India
Andhra Pradesh,Anantapur,59.5,881,31.3,2,67.6,67.6,67.2,0,0,0,0.1,0,6.4,3.7,21.9,36.4,100,89.1,94.7,36,19.3,40.6,0.3,Rest of India
Andhra Pradesh,Chittoor,65.6,1019,40.3,3.2,69,68.9,67.9,0,0,0,0.8,0,6,3.9,21.3,29.1,98.2,93.8,97.1,27.1,14.8,27.9,0.5,Rest of India
Andhra Pradesh,East Godavari,75.4,882,43.2,1.3,66.3,66.3,64.1,0.9,0.1,0.3,1.1,0,8,4.4,12.5,32.4,91.4,91.9,96.6,23.1,14.3,22.4,3.4,Rest of India
Andhra Pradesh,Guntur,64.9,941,32.6,1,73.3,73.2,72.9,0,0.2,0,0.1,0,3.2,1.7,16.6,28.2,96,94,98.6,23.8,17.8,26.9,3.6,Rest of India
Andhra Pradesh,Krishna,74,1139,46.2,0,79.1,78.1,76.5,1,0,0,0.4,0,2.5,1.4,16.1,27.7,96.4,88.3,98.9,29.8,14.3,21.1,4.2,Rest of India
Andhra Pradesh,Kurnool,55.2,918,33.4,3,70,70,69.5,0,0,0.2,0.4,0,2.1,0.9,20.7,22.2,95.6,87.8,88.5,50.5,16.7,46.3,1.1,Rest of India
Andhra Pradesh,Prakasam,58.1,837,34.5,3.1,69,68.7,68.7,0,0,0,0,0,4.8,1.6,25.4,18.9,92.8,90.1,97.4,22.6,8.7,24.7,5.1,Rest of India
Andhra Pradesh,Sri Potti Sriramulu Nellore,67.9,1011,38.7,3.4,71.9,71.7,71.4,0,0,0,0.3,0,3.1,2.3,19.7,21.7,92.8,95.5,97,29.2,17.2,27.8,0.5,Rest of India
Andhra Pradesh,Srikakulam,60,1163,42.5,0,72.3,72.2,71,0.3,0.6,0,0.3,0,5.7,3.6,16,45.8,100,90.8,97.9,19.7,19.5,21.4,4.5,Rest of India
Andhra Pradesh,Visakhapatnam,66.8,974,46,0,68,67.7,64.9,1.5,0.3,0,0.8,0,4.8,2.4,15.2,35.3,97,84.8,95.3,31,21.5,33.5,4.8,Rest of India
Andhra Pradesh,Vizianagaram,56,898,37.6,2.2,71.2,71.2,69.3,1.3,0,0,0.6,0,6.7,4.7,21.1,36.4,98.8,83.9,99,36.4,19.2,32.2,4.7,Rest of India
Andhra Pradesh,West Godavari,75.4,833,46.5,0.5,77.8,77.2,74.5,0.7,0.6,0.4,0.6,0.4,3,1.8,12.5,28.8,100,94.8,98.7,31.4,11.7,22.5,5.2,Rest of India
Andhra Pradesh,Y.S.R.,61.9,779,40,1.2,69.1,68.4,68.1,0,0.3,0,0,0,5.5,3.1,29.5,14.6,97.7,92.3,99.4,34.4,14.1,26.7,0.2,Rest of India
