Country,Year,GDP_Growth,GDP,TFR
Bangladesh,1960,NA,89.03523943,6.725
Bangladesh,1961,3.159069738,97.5952917,6.761
Bangladesh,1962,2.566304335,100.1221296,6.794
Bangladesh,1963,-3.220631195,101.9014125,6.825
Bangladesh,1964,7.773964948,100.2211042,6.853
Bangladesh,1965,-1.408613484,106.6466444,6.878
Bangladesh,1966,-0.613925241,112.6653648,6.901
Bangladesh,1967,-4.99506431,122.8706285,6.92
Bangladesh,1968,6.102955484,122.8475975,6.935
Bangladesh,1969,-1.623466937,135.1473813,6.945
Bangladesh,1970,3.066655727,140.0027053,6.947
Bangladesh,1971,-7.353329683,133.5514189,6.942
Bangladesh,1972,-15.38637938,94.38167705,6.928
Bangladesh,1973,1.779962568,119.5597239,6.904
Bangladesh,1974,7.830823937,182.0200185,6.869
Bangladesh,1975,-5.900720627,277.5706052,6.821
Bangladesh,1976,3.322472596,141.1971589,6.758
Bangladesh,1977,0.141704802,131.3732273,6.681
Bangladesh,1978,4.254809751,176.0339474,6.59
Bangladesh,1979,1.991289832,200.769677,6.483
Bangladesh,1980,-1.8525797,227.7519265,6.359
Bangladesh,1981,4.443156185,247.6496168,6.217
Bangladesh,1982,-0.499724165,220.718797,6.058
Bangladesh,1983,1.215529046,204.4176901,5.884
Bangladesh,1984,2.107809332,213.9966386,5.698
Bangladesh,1985,0.669033044,245.4539123,5.501
Bangladesh,1986,1.464275891,233.6580722,5.298
Bangladesh,1987,1.078532439,253.9744737,5.092
Bangladesh,1988,-0.207289569,270.6996009,4.887
Bangladesh,1989,0.274084213,285.8292169,4.686
Bangladesh,1990,3.086982001,306.2687008,4.495
Bangladesh,1991,1.106647184,293.1604211,4.315
Bangladesh,1992,3.11421545,293.6449876,4.146
Bangladesh,1993,2.465582465,300.5557477,3.99
Bangladesh,1994,1.690416545,299.5330371,3.846
Bangladesh,1995,2.901244279,329.4240761,3.713
Bangladesh,1996,2.319635126,394.7174919,3.591
Bangladesh,1997,2.306676748,401.4986674,3.478
Bangladesh,1998,3.014682995,407.4291762,3.371
Bangladesh,1999,2.574208258,409.5431838,3.269
Bangladesh,2000,3.257496507,418.0689421,3.169
Bangladesh,2001,3.113805997,415.0344043,3.07
Bangladesh,2002,1.960394887,413.0802826,2.973
Bangladesh,2003,2.941850091,446.3106757,2.876
Bangladesh,2004,3.55335866,475.2919302,2.782
Bangladesh,2005,4.965840614,499.4619402,2.691
Bangladesh,2006,5.24454106,509.6401899,2.604
Bangladesh,2007,5.753407226,558.0518407,2.523
Bangladesh,2008,4.806176198,634.9870697,2.449
Bangladesh,2009,3.878500674,702.2644196,2.382
Bangladesh,2010,4.390962886,781.1535777,2.324
Bangladesh,2011,5.253547153,861.7621622,2.273
Bangladesh,2012,5.29926033,883.1171296,2.228
Bangladesh,2013,4.79519609,981.8608514,2.188
Bangladesh,2014,4.85575647,1118.873808,2.152
Bangladesh,2015,5.366866159,1248.45331,2.12
Bangladesh,2016,5.946678284,1401.564635,2.09
Bangladesh,2017,6.136478312,1563.767819,2.062
Bangladesh,2018,6.733298633,1698.132081,2.036
Bangladesh,2019,7.045288761,1855.740094,2.011
Bangladesh,2020,2.476359852,1961.613749,NA
India,1960,NA,82.18860274,5.906
India,1961,1.670481843,85.35430099,5.902
India,1962,0.860769633,89.88175649,5.894
India,1963,3.836414097,101.1264294,5.88
India,1964,5.2499118319999996,115.5374961,5.859
India,1965,-4.640156216,119.3189163,5.83
India,1966,-2.116105383,89.99730437,5.794
India,1967,5.59463359,96.33913646,5.751
India,1968,1.226223207,99.87596272,5.702
India,1969,4.269854858,107.6223184,5.648
India,1970,2.864361485,112.4344925,5.587
India,1971,-0.626350139,118.6032415,5.519
India,1972,-2.815627958,122.9818641,5.444
India,1973,0.919173975,143.7786876,5.363
India,1974,-1.146912475,163.4781125,5.278
India,1975,6.644905165,158.036171,5.192
India,1976,-0.653096224,161.0920922,5.108
India,1977,4.82517744,186.2135042,5.029
India,1978,3.322549402,205.6933833,4.956
India,1979,-7.388101983,224.0010188,4.889
India,1980,4.298982291,266.5778508,4.827
India,1981,3.571275709,270.4706009,4.766
India,1982,1.093955346,274.1113337,4.703
India,1983,4.828035053,291.2381101,4.636
India,1984,1.464367976,276.6679583,4.563
India,1985,2.902381637,296.43515,4.484
India,1986,2.475166322,310.4659328,4.399
India,1987,1.719486841,340.4168345,4.311
India,1988,7.299419353,354.1492482,4.222
India,1989,3.734376373,346.1128885,4.132
India,1990,3.365072562,367.5566089,4.045
India,1991,-0.98357369,303.0556077,3.959
India,1992,3.390418193,316.9539272,3.877
India,1993,2.706727295,301.1590023,3.799
India,1994,4.606289449,346.1029514,3.723
India,1995,5.529881349,373.7664808,3.651
India,1996,5.53041633,399.9500747,3.582
India,1997,2.12301449,415.4937978,3.514
India,1998,4.248843461,413.2989322,3.446
India,1999,6.89811623,441.9987604,3.379
India,2000,2.021088595,443.3141938,3.311
India,2001,3.027376664,451.5729973,3.244
India,2002,2.064876099,470.9867868,3.176
India,2003,6.0937051,546.7266135,3.109
India,2004,6.193652699,627.7742417,3.041
India,2005,6.231949735,714.8610154,2.972
India,2006,6.403284237,806.7532806,2.899
India,2007,6.04817415,1028.334772,2.823
India,2008,1.587598304,998.5223415,2.743
India,2009,6.351088271,1101.960838,2.661
India,2010,7.04234767,1357.563727,2.581
India,2011,3.893966041,1458.104066,2.506
India,2012,4.165673052,1443.882435,2.439
India,2013,5.135074506,1449.610451,2.381
India,2014,6.186679513,1573.885642,2.333
India,2015,6.796759064,1605.605445,2.295
India,2016,7.082227583,1732.554242,2.266
India,2017,5.665781149,1980.66702,2.243
India,2018,5.433077451,1996.915087,2.222
India,2019,2.992664406,2100.751461,2.202
India,2020,-8.164893908,1927.707823,NA
Sri Lanka,1960,NA,142.7796219,5.541
Sri Lanka,1961,NA,142.8381424,5.421
Sri Lanka,1962,1.405726665,138.536654,5.299
Sri Lanka,1963,0.143451962,117.0719883,5.18
