State,Female population age 6 years and above who ever attended school (%)_1,"Sex ratio at birth for children born in the last five years (females per 1,000 males)_1",Women with 10 or more years of schooling (%)_1,Births in the 5 years preceding the survey that are third or higher order (%)_1,Any method6 (%)_1,Any modern method6 (%)_1,Female sterilization (%)_1,Male sterilization (%)_1,Condom (%)_1,Health worker ever talked to female non-users about family planning (%)_1,GDP,GDP_Growth_Rate,District,State_Type,Population,Hindus,Muslims,Literate_Education,Illiterate_Education,Total_Education,Total_Power_Parity,Percent_Literacy,Percent_Muslims,Per Capita GDP
Jammu Kashmir,68.7,940,44.9,1.6,64.5,56.5,25.7,0.3,9.4,8.9,NA,NA,Kupwara,Rest of India,870354,37128,823286,405015,289765,694780,1119,46.53,94.59,NA
Jammu Kashmir,62.5,843,48.2,0,59.9,57.7,19,0,12.5,13.7,NA,NA,Badgam,Rest of India,753745,10110,736054,374972,342646,717618,1066,49.75,97.65,NA
Ladakh,69.6,1336,50.3,0.4,46.9,41.6,14.1,0.3,8.6,9.1,NA,NA,Kargil,Rest of India,140802,10341,108239,82938,39854,122792,214,58.9,76.87,NA
Jammu Kashmir,72.1,1175,46.8,1.3,58.8,53.3,12.2,0.4,10.1,15.1,NA,NA,Punch,Rest of India,476835,32604,431279,288430,164044,452474,629,60.49,90.45,NA
Jammu Kashmir,72.6,968,46.4,0.3,65.9,56.2,24.2,0,6.3,6.4,NA,NA,Rajouri,Rest of India,642415,221880,402879,394977,242306,637283,786,61.48,62.71,NA
Jammu Kashmir,77.4,1100,64.9,0,74.9,72.7,40.1,0.7,25.9,28.7,NA,NA,Kathua,Rest of India,616435,540063,64234,426572,181297,607869,936,69.2,10.42,NA
Jammu Kashmir,62.9,952,35.9,1.9,31.1,28.2,14.1,0,4.5,11.9,NA,NA,Baramula,Rest of India,1008039,30621,959185,555050,350119,905169,2100,55.06,95.15,NA
Jammu Kashmir,62.4,1000,35.9,0.8,41.4,34.6,18.1,0.3,6.3,12,NA,NA,Bandipore,Rest of India,392232,8439,382006,199416,163648,363064,45,50.84,97.39,NA
Jammu Kashmir,68.2,924,60.5,0.5,56.5,52.2,23.3,0.7,5.1,9.7,NA,NA,Srinagar,Rest of India,1236829,42540,1177342,904049,310225,1214274,3099,73.09,95.19,NA
Jammu Kashmir,60.2,816,34.3,0.3,34.4,27.7,14.7,0.3,6.5,7.2,NA,NA,Ganderbal,Rest of India,297446,5592,290581,158024,116734,274758,24,53.13,97.69,NA
Jammu Kashmir,67.2,889,49.4,0,61.8,46.1,20.3,0.2,10.4,4.3,NA,NA,Pulwama,Rest of India,560440,13840,535159,310482,190369,500851,1068,55.4,95.49,NA
Jammu Kashmir,71.4,1142,55.2,0.4,60.8,53.1,20.2,0.3,8.8,8.7,NA,NA,Shupiyan,Rest of India,266215,3116,262263,150910,107053,257963,500,56.69,98.52,NA
Jammu Kashmir,65.5,1177,52.8,0.5,58.3,57.3,15.3,0,20.2,18.8,NA,NA,Anantnag,Rest of India,1078692,13180,1057005,502210,337265,839475,2144,46.56,97.99,NA
Jammu Kashmir,64,1097,42.4,0.3,70.8,55,12.6,0,11.1,5.7,NA,NA,Kulgam,Rest of India,424483,4267,418076,234831,175199,410030,26,55.32,98.49,NA
Jammu Kashmir,65.1,959,46.8,2.1,69.5,49.4,22.6,0.2,11.2,10.8,NA,NA,Doda,Rest of India,409936,187621,220614,248131,163565,411696,1103,60.53,53.82,NA
Jammu Kashmir,60.8,1022,35.5,0.8,56.5,52.6,16.7,0.4,8.1,15.6,NA,NA,Ramban,Rest of India,283713,81026,200516,146713,141812,288525,9,51.71,70.68,NA
Jammu Kashmir,68.9,1024,48,0.8,52.5,47.8,25.9,0.4,6.7,3.1,NA,NA,Kishtwar,Rest of India,230696,93931,133225,120480,101166,221646,28,52.22,57.75,NA
Jammu Kashmir,73,997,43.7,0.7,69.7,63.9,29.6,0.2,10.5,9,NA,NA,Udhampur,Rest of India,554985,489044,59771,330760,194838,525598,1278,59.6,10.77,NA
Jammu Kashmir,66.9,1000,41.9,1.7,56.9,51.7,21.8,0.3,12.3,8,NA,NA,Reasi,Rest of India,314667,153898,156275,153248,143293,296541,17,48.7,49.66,NA
Jammu Kashmir,84,892,70.8,0,67.9,57.1,19.7,0.8,17.3,6.8,NA,NA,Jammu,Rest of India,1529958,1289240,107489,1173121,268279,1441400,3525,76.68,7.03,NA
Jammu Kashmir,76.6,888,60.6,1.5,62.8,50.4,21,0.3,14.1,7.2,NA,NA,Samba,Rest of India,318898,275311,22950,238867,65643,304510,728,74.9,7.2,NA
Himachal Pradesh,70.1,1001,50.9,1.9,81.8,65.2,24.4,18.4,19.3,31.8,NA,NA,Chamba,Rest of India,519080,479782,32455,344427,154575,499002,950,66.35,6.25,NA
Himachal Pradesh,84.1,795,69.9,1,59.1,52,32.6,0.5,16.4,15.8,NA,NA,Kangra,Rest of India,1510075,1461140,19797,1176288,271892,1448180,2878,77.9,1.31,NA
Himachal Pradesh,77.4,1017,54.4,0.9,78.3,67.5,32.6,9.7,20.9,16.8,NA,NA,Kullu,Rest of India,437903,415669,2974,310349,103136,413485,854,70.87,0.68,NA
Himachal Pradesh,79.2,840,71.8,0.8,81.4,71.3,50.5,1.4,17.6,14.2,NA,NA,Mandi,Rest of India,999777,981412,9460,763468,218570,982038,1842,76.36,0.95,NA
Himachal Pradesh,86.7,1073,76.1,0.6,57.7,51.4,35,1.1,12.4,17.3,NA,NA,Hamirpur,Rest of India,454768,449412,3711,376978,72551,449529,878,82.89,0.82,NA
Uttar Pradesh,70.8,882,37.6,2.6,61.3,47.5,21.9,0,19.1,38.4,3474.38,15.47,Hamirpur,Rest of India,454768,449412,3711,376978,72551,449529,878,82.89,0.82,0.007639895507159695
Himachal Pradesh,86.1,873,66.8,0,53.3,45.9,26.3,0.2,14.6,14.8,NA,NA,Una,Rest of India,521173,480138,14275,424468,87735,512203,987,81.44,2.74,NA
Chhattisgarh,71,1070,37.4,2.6,58.5,50.3,33.7,0.1,5.5,19.9,NA,NA,Bilaspur,Rest of India,381956,371973,6984,287961,65864,353825,3666,75.39,1.83,NA
Himachal Pradesh,81.3,875,64.2,0.5,80.8,70.3,53.1,2.5,12.4,25,NA,NA,Bilaspur,Rest of India,381956,371973,6984,287961,65864,353825,3666,75.39,1.83,NA
Himachal Pradesh,82.4,882,62.3,3.3,84.6,65.5,41.7,1.7,19,21.8,NA,NA,Solan,Rest of India,580320,548579,14678,423408,104084,527492,1253,72.96,2.53,NA
Himachal Pradesh,75.7,925,55.6,2.4,86.9,74.5,44.2,1.4,25.8,24.9,NA,NA,Sirmaur,Rest of India,529855,476830,33215,368841,140486,509327,930,69.61,6.27,NA
Himachal Pradesh,81.6,808,69.7,0.9,89.1,76,36.8,4.1,31.2,29.1,NA,NA,Shimla,Rest of India,814010,791449,11810,623801,137576,761377,1668,76.63,1.45,NA
Himachal Pradesh,73.8,691,56.1,2.5,83.4,76.7,26.7,14.4,21,19.3,NA,NA,Kinnaur,Rest of India,84121,64732,448,59428,16944,76372,181,70.65,0.53,NA
Punjab,79,746,64.6,1.6,58.5,43.3,17.1,0.3,20.8,27.7,15778.33,17.19,Gurdaspur,Rest of India,2298323,1074332,27667,1528979,478020,2006999,5982,66.53,1.2,0.00686514906738522
Punjab,79.2,922,60.3,1.6,61,47.2,22.1,0.8,20.5,19.5,7567.96,14.139999999999999,Kapurthala,Rest of India,815168,336124,10190,575495,174995,750490,2472,70.6,1.25,0.009283926748841957
Punjab,82.1,936,64.4,2.3,66.6,40.1,14.9,0.2,21,26.9,19378.45,15.97,Jalandhar,Rest of India,2193590,1394329,30233,1575774,387809,1963583,6883,71.84,1.38,0.00883412579379009
Punjab,89,970,73.2,1.4,65.6,46.3,20.4,0.1,22.6,22.8,13374.5,24.14,Hoshiarpur,Rest of India,1586625,1000743,23089,1227466,294723,1522189,4305,77.36,1.46,0.008429528086346805
Punjab,82.3,833,65.4,0,66.1,49.4,19.4,1.3,25,22.8,6905.75,11.139999999999999,Shahid Bhagat Singh Nagar,Rest of India,612310,401368,6829,455446,133275,588721,1653,74.38,1.12,0.011278192418872793
