State,Female population age 6 years and above who ever attended school (%),"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Women with 10 or more years of schooling (%),Births in the 5 years preceding the survey that are third or higher order (%),Any method6 (%),Any modern method6 (%),Female sterilization (%),Male sterilization (%),IUD/PPIUD (%),Pill (%),Condom (%),Injectables (%),Total unmet need7 (%),Unmet need for spacing7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method8 (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Institutional births (%),Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),State_Type,District,Population,Hindus,Muslims,Literate_Education,Illiterate_Education,Total_Education,Total_Power_Parity,tier,Percent_Literacy,Percent_Muslims
Jammu Kashmir,68.7,940,44.9,1.6,64.5,56.5,25.7,0.3,6.8,11.6,9.4,2.2,5.9,3.1,8.9,64.6,99.3,90.5,97.1,24.9,25.1,25.5,8.8,Rest of India,Kupwara,870354,37128,823286,405015,289765,694780,1119,all,46.53,94.59
Jammu Kashmir,62.5,843,48.2,0,59.9,57.7,19,0,7.4,8.4,12.5,9.8,4.2,2.1,13.7,55.4,93.4,88.7,96.5,26.8,18.9,20.6,11.1,Rest of India,Badgam,753745,10110,736054,374972,342646,717618,1066,all,49.75,97.65
Ladakh,69.6,1336,50.3,0.4,46.9,41.6,14.1,0.3,5.7,6.6,8.6,5.1,8.8,4.9,9.1,55.4,99.1,78.3,93.7,36.5,17.7,21.8,14,Rest of India,Kargil,140802,10341,108239,82938,39854,122792,214,all,58.9,76.87
Jammu Kashmir,72.1,1175,46.8,1.3,58.8,53.3,12.2,0.4,8.2,11.8,10.1,9.3,8.4,5.4,15.1,70,98,81.7,86,25.9,15.6,18.8,4.5,Rest of India,Punch,476835,32604,431279,288430,164044,452474,629,all,60.49,90.45
Jammu Kashmir,72.6,968,46.4,0.3,65.9,56.2,24.2,0,7,14.4,6.3,3.5,5.7,3.8,6.4,53.7,95.4,78.7,88.8,30.3,22.5,32.4,5.2,Rest of India,Rajouri,642415,221880,402879,394977,242306,637283,786,all,61.48,62.71
Jammu Kashmir,77.4,1100,64.9,0,74.9,72.7,40.1,0.7,1.1,3.7,25.9,0.5,4.2,3.6,28.7,74.5,98.1,81.2,97.1,21.8,22.5,25.9,18.6,Rest of India,Kathua,616435,540063,64234,426572,181297,607869,936,all,69.2,10.42
Jammu Kashmir,62.9,952,35.9,1.9,31.1,28.2,14.1,0,2.1,5,4.5,1.6,15.7,7.4,11.9,55.9,96,80.1,96.2,23.2,18.2,17.3,8,Rest of India,Baramula,1008039,30621,959185,555050,350119,905169,2100,all,55.06,95.15
Jammu Kashmir,62.4,1000,35.9,0.8,41.4,34.6,18.1,0.3,1.7,6.3,6.3,1.6,13.8,5.5,12,61.1,97.5,82.6,92.8,25.2,14,16.8,11.4,Rest of India,Bandipore,392232,8439,382006,199416,163648,363064,45,all,50.84,97.39
Jammu Kashmir,68.2,924,60.5,0.5,56.5,52.2,23.3,0.7,11.2,5.1,5.1,5.4,4.7,2,9.7,78.7,97.8,90.9,99.2,33,18.6,15.8,12.7,Rest of India,Srinagar,1236829,42540,1177342,904049,310225,1214274,3099,all,73.09,95.19
Jammu Kashmir,60.2,816,34.3,0.3,34.4,27.7,14.7,0.3,0.8,3.8,6.5,1,14.1,6,7.2,36.1,95.5,88.4,98,18.5,25.9,20.1,11.8,Rest of India,Ganderbal,297446,5592,290581,158024,116734,274758,24,all,53.13,97.69
