State,District,Female population age 6 years and above who ever attended school (%),"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Women with 10 or more years of schooling (%),Births in the 5 years preceding the survey that are third or higher order (%),Any method6 (%),Any modern method6 (%),Female sterilization (%),Male sterilization (%),Condom (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method8 (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Institutional births (%),Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),2010-11 GDP (in Rs. Cr.),2010-11 Growth Rate % (YoY)
Andaman Nicobar Islands,Nicobar,,,,,,,,,,,,,,,,,,,,
Andaman Nicobar Islands,North  & Middle Andaman,,,,,,,,,,,,,,,,,,,,
Andaman Nicobar Islands,South Andaman,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Anantapur,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Chittoor,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,East Godavari,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Guntur,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Krishna,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Kurnool,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Prakasam,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Srikakulam,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Visakhapatnam,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Vizianagaram,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,West Godavari,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Y.S.R.,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Anjaw,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Changlang,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Dibang Valley,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,East Kameng,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,East Siang,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Kra Daadi,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Kurung Kumey,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Lohit,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Longding,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Lower Dibang Valley,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Lower Subansiri,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Namsai,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Papum Pare,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Siang,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Tawang,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Tirap,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Upper Siang,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Upper Subansiri,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,West Kameng,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,West Siang,,,,,,,,,,,,,,,,,,,,
Assam,Baksa,,,,,,,,,,,,,,,,,,,,
Assam,Barpeta,,,,,,,,,,,,,,,,,,,,
Assam,Biswanath,,,,,,,,,,,,,,,,,,,,
Assam,Bongaigaon,,,,,,,,,,,,,,,,,,,,
Assam,Cachar,,,,,,,,,,,,,,,,,,,,
Assam,Charaideo,,,,,,,,,,,,,,,,,,,,
Assam,Chirang,,,,,,,,,,,,,,,,,,,,
Assam,Darrang,,,,,,,,,,,,,,,,,,,,
Assam,Dhemaji,,,,,,,,,,,,,,,,,,,,
