State,District,Population,Hindus,Muslims,Literate_Education,Illiterate_Education,Total_Education,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity
JAMMU AND KASHMIR,Kupwara,870354,37128,823286,405015,289765,694780,259,494,94,588,71,101,172,74,10,84,15,1119
JAMMU AND KASHMIR,Badgam,753745,10110,736054,374972,342646,717618,201,436,126,562,72,89,161,96,28,124,18,1066
JAMMU AND KASHMIR,Leh,133487,22882,19057,75493,32637,108130,33,76,46,122,15,22,37,20,14,34,17,242
JAMMU AND KASHMIR,Kargil,140802,10341,108239,82938,39854,122792,39,87,27,114,12,18,30,19,3,22,7,214
JAMMU AND KASHMIR,Punch,476835,32604,431279,288430,164044,452474,117,268,78,346,35,50,85,59,8,67,12,629
JAMMU AND KASHMIR,Rajouri,642415,221880,402879,394977,242306,637283,135,323,120,443,42,58,100,72,22,94,15,786
JAMMU AND KASHMIR,Kathua,616435,540063,64234,426572,181297,607869,139,340,174,514,54,69,123,78,52,130,28,936
JAMMU AND KASHMIR,Baramula,1008039,30621,959185,555050,350119,905169,387,795,254,1049,155,190,345,177,78,255,64,2100
JAMMU AND KASHMIR,Bandipore,392232,8439,382006,199416,163648,363064,6,18,11,29,2,2,4,3,3,6,0,45
JAMMU AND KASHMIR,Srinagar,1236829,42540,1177342,904049,310225,1214274,251,427,668,1095,319,380,699,240,370,610,445,3099
JAMMU AND KASHMIR,Ganderbal,297446,5592,290581,158024,116734,274758,4,10,5,15,1,1,2,2,1,3,0,24
JAMMU AND KASHMIR,Pulwama,560440,13840,535159,310482,190369,500851,213,430,119,549,71,96,167,84,24,108,32,1068
JAMMU AND KASHMIR,Shupiyan,266215,3116,262263,150910,107053,257963,119,218,39,257,33,47,80,29,6,35,9,500
JAMMU AND KASHMIR,Anantnag,1078692,13180,1057005,502210,337265,839475,404,838,254,1092,151,191,342,181,68,249,57,2144
JAMMU AND KASHMIR,Kulgam,424483,4267,418076,234831,175199,410030,3,9,8,17,1,1,2,2,2,4,0,26
JAMMU AND KASHMIR,Doda,409936,187621,220614,248131,163565,411696,247,467,99,566,75,102,177,74,19,93,19,1103
