State,District,Id_Indicator,Indicator,NFHS5,NFHS4,Change
Andaman Nicobar Islands,Nicobar,1,Female population age 6 years and above who ever attended school (%),78,77.2,0.7999999999999972
Andaman Nicobar Islands,Nicobar,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",927,1060,-133
Andaman Nicobar Islands,Nicobar,15,Women with 10 or more years of schooling (%),53.5,43.7,9.799999999999997
Andaman Nicobar Islands,Nicobar,17,Births in the 5 years preceding the survey that are third or higher order (%),0,3,-3
Andaman Nicobar Islands,Nicobar,20,Any method6 (%),65.3,38,27.299999999999997
Andaman Nicobar Islands,Nicobar,21,Any modern method6 (%),57.2,37.8,19.400000000000006
Andaman Nicobar Islands,Nicobar,22,Female sterilization (%),46.4,35.6,10.799999999999997
Andaman Nicobar Islands,Nicobar,23,Male sterilization (%),0,0,0
Andaman Nicobar Islands,Nicobar,24,IUD/PPIUD (%),2.7,0,2.7
Andaman Nicobar Islands,Nicobar,25,Pill (%),2,1.1,0.8999999999999999
Andaman Nicobar Islands,Nicobar,26,Condom (%),4.9,1.2,3.7
Andaman Nicobar Islands,Nicobar,27,Injectables (%),1.2,0,1.2
Andaman Nicobar Islands,Nicobar,28,Total unmet need7 (%),9.5,18,-8.5
Andaman Nicobar Islands,Nicobar,29,Unmet need for spacing7 (%),3.3,14.2,-10.899999999999999
Andaman Nicobar Islands,Nicobar,30,Health worker ever talked to female non-users about family planning (%),40.4,48.1,-7.700000000000003
Andaman Nicobar Islands,Nicobar,31,Current users ever told about side effects of current method8 (%),49.4,87.6,-38.199999999999996
Andaman Nicobar Islands,Nicobar,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.9,100,-2.0999999999999943
Andaman Nicobar Islands,Nicobar,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.1,74,11.099999999999994
Andaman Nicobar Islands,Nicobar,42,Institutional births (%),97.8,96.1,1.7000000000000028
Andaman Nicobar Islands,Nicobar,73,Children under 5 years who are stunted (height-for-age)18 (%),21.6,20.3,1.3000000000000007
Andaman Nicobar Islands,Nicobar,74,Children under 5 years who are wasted (weight-for-height)18 (%),15.7,7.4,8.299999999999999
Andaman Nicobar Islands,Nicobar,76,Children under 5 years who are underweight (weight-for-age)18 (%),24.6,10.5,14.100000000000001
Andaman Nicobar Islands,Nicobar,77,Children under 5 years who are overweight (weight-for-height)20 (%),1.5,4.8,-3.3
Andaman Nicobar Islands,North  & Middle Andaman,1,Female population age 6 years and above who ever attended school (%),82.7,83.8,-1.0999999999999943
Andaman Nicobar Islands,North  & Middle Andaman,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",844,975,-131
Andaman Nicobar Islands,North  & Middle Andaman,15,Women with 10 or more years of schooling (%),41,39.2,1.7999999999999972
Andaman Nicobar Islands,North  & Middle Andaman,17,Births in the 5 years preceding the survey that are third or higher order (%),1.5,1.6,-0.10000000000000009
Andaman Nicobar Islands,North  & Middle Andaman,20,Any method6 (%),84.1,66.9,17.19999999999999
Andaman Nicobar Islands,North  & Middle Andaman,21,Any modern method6 (%),73.1,62,11.099999999999994
Andaman Nicobar Islands,North  & Middle Andaman,22,Female sterilization (%),48.3,50,-1.7000000000000028
Andaman Nicobar Islands,North  & Middle Andaman,23,Male sterilization (%),0.6,0,0.6
Andaman Nicobar Islands,North  & Middle Andaman,24,IUD/PPIUD (%),6.4,3.9,2.5000000000000004
Andaman Nicobar Islands,North  & Middle Andaman,25,Pill (%),7.8,2.6,5.199999999999999
Andaman Nicobar Islands,North  & Middle Andaman,26,Condom (%),9.3,5.5,3.8000000000000007
Andaman Nicobar Islands,North  & Middle Andaman,27,Injectables (%),0,0,0
Andaman Nicobar Islands,North  & Middle Andaman,28,Total unmet need7 (%),5.8,12.2,-6.3999999999999995
Andaman Nicobar Islands,North  & Middle Andaman,29,Unmet need for spacing7 (%),1.3,6.2,-4.9
Andaman Nicobar Islands,North  & Middle Andaman,30,Health worker ever talked to female non-users about family planning (%),23.2,32,-8.8
Andaman Nicobar Islands,North  & Middle Andaman,31,Current users ever told about side effects of current method8 (%),83.2,75.5,7.700000000000003
Andaman Nicobar Islands,North  & Middle Andaman,37,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.2,99.4,-0.20000000000000284
Andaman Nicobar Islands,North  & Middle Andaman,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.5,78.3,14.200000000000003
Andaman Nicobar Islands,North  & Middle Andaman,42,Institutional births (%),97.7,95,2.700000000000003
Andaman Nicobar Islands,North  & Middle Andaman,73,Children under 5 years who are stunted (height-for-age)18 (%),27,32.5,-5.5
Andaman Nicobar Islands,North  & Middle Andaman,74,Children under 5 years who are wasted (weight-for-height)18 (%),27,31.7,-4.699999999999999
Andaman Nicobar Islands,North  & Middle Andaman,76,Children under 5 years who are underweight (weight-for-age)18 (%),42.8,33.5,9.299999999999997
Andaman Nicobar Islands,North  & Middle Andaman,77,Children under 5 years who are overweight (weight-for-height)20 (%),0.8,2.1,-1.3
Andaman Nicobar Islands,South Andaman,1,Female population age 6 years and above who ever attended school (%),84.7,85.8,-1.0999999999999943
Andaman Nicobar Islands,South Andaman,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",935,794,141
Andaman Nicobar Islands,South Andaman,15,Women with 10 or more years of schooling (%),57.5,53.2,4.299999999999997
Andaman Nicobar Islands,South Andaman,17,Births in the 5 years preceding the survey that are third or higher order (%),0.5,0.8,-0.30000000000000004
Andaman Nicobar Islands,South Andaman,20,Any method6 (%),57.1,45.6,11.5
Andaman Nicobar Islands,South Andaman,21,Any modern method6 (%),50.5,43.9,6.600000000000001
Andaman Nicobar Islands,South Andaman,22,Female sterilization (%),34,36.3,-2.299999999999997
Andaman Nicobar Islands,South Andaman,23,Male sterilization (%),0,0,0
Andaman Nicobar Islands,South Andaman,24,IUD/PPIUD (%),2.8,1.6,1.1999999999999997
Andaman Nicobar Islands,South Andaman,25,Pill (%),1.8,2.1,-0.30000000000000004
Andaman Nicobar Islands,South Andaman,26,Condom (%),10.6,3.9,6.699999999999999
Andaman Nicobar Islands,South Andaman,27,Injectables (%),0.3,0,0.3
Andaman Nicobar Islands,South Andaman,28,Total unmet need7 (%),17.6,16.5,1.1000000000000014
